[30-Mar-2025 11:18:08 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$nom in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 207
[30-Mar-2025 11:18:08 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$prenom in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 207
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "nom" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 201
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "prenom" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 201
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "lieu_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 211
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "lieu_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 213
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "date_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 220
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "heure_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 220
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "date_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 223
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "heure_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 223
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "nb_place" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 231
[30-Mar-2025 13:18:33 Europe/Berlin] PHP Warning:  Attempt to read property "prix_personne" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 234
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "nom" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 205
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "prenom" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 205
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "lieu_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 215
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "lieu_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 217
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "date_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 224
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "heure_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 224
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "date_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 227
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "heure_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 227
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "nb_place" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 235
[30-Mar-2025 13:19:28 Europe/Berlin] PHP Warning:  Attempt to read property "prix_personne" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 238
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "nom" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 202
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "prenom" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 202
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "lieu_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 212
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "lieu_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 214
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "date_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 221
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "heure_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 221
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "date_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 224
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "heure_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 224
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "nb_place" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 232
[30-Mar-2025 13:21:20 Europe/Berlin] PHP Warning:  Attempt to read property "prix_personne" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 235
[30-Mar-2025 13:22:41 Europe/Berlin] PHP Warning:  Attempt to read property "nom" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 210
